"age","duration","E","O"
17,0,1189.21794871794,63
25,0,1515.04487179485,74
30,0,2314.97435897432,113
35,0,2780.00641025636,133
40,0,3185.24999999993,156
45,0,3270.25641025633,169
50,0,3436.46794871786,202
55,0,3243.33333333325,239
60,0,2024.87179487173,132
17,0.25,833.025641025641,16
25,0.25,1114.87179487178,17
30,0.25,1711.0769230769,37
35,0.25,2038.88461538459,48
40,0.25,2350.56410256407,53
45,0.25,2381.25641025637,72
50,0.25,2477.01923076919,86
55,0.25,2343.26923076919,77
60,0.25,1433.91025641022,56
17,0.5,612.256410256412,7
25,0.5,875.032051282052,9
30,0.5,1378.39102564102,16
35,0.5,1585.29487179486,15
40,0.5,1842.77564102563,27
45,0.5,1891.98076923076,28
50,0.5,1950.58974358973,39
55,0.5,1832.33974358973,34
60,0.5,1142.61538461537,21
17,0.75,1952.00641025643,5
25,0.75,3696.73076923078,8
30,0.75,6772.69230769233,14
35,0.75,8169.06410256412,18
40,0.75,10331.6602564103,18
45,0.75,11179.0705128205,25
50,0.75,12303.3653846154,31
55,0.75,12707.4871794872,37
60,0.75,11640.6153846154,18
