"age","E","O"
17,8255.14743589756,29
40,1131.71794871797,10
41,1220.03205128208,6
42,1266.37179487181,9
43,1347.608974359,11
44,1432.9230769231,12
45,1591.64743589745,11
46,1583.12179487181,13
47,1657.78205128209,14
48,1739.87820512824,15
49,1870.60256410259,20
50,2001.7884615385,16
51,2084.45512820516,18
52,2196.26923076926,16
53,2322.45512820516,28
54,2465.9871794872,25
55,2611.17307692311,23
56,2635.69871794875,33
57,2726.42307692312,25
58,2822.78846153849,47
59,2794.12820512824,47
60,2785.2948717949,52
61,2589.72435897438,112
62,2199.23076923079,98
63,1794.71153846155,110
64,1354.85256410258,97
65,873.493589743587,72
66,469.487179487182,19
67,239.49358974359,0
68,185.5,0
69,97.0000000000007,0
70,173.083333333333,0
